property_type,property_subtype,living_area_m2,bedrooms,bathrooms,postal_code,latitude,longitude,building_year,state_of_the_building,furnished,has_garage,parking_count,kitchen_equipped,has_elevator,facades,floors_total,has_garden,garden_area_m2,has_terrace,total_area_m2,epc_score,region,province,km_from_nearby_city,is_nearby_city_prestigious,floor_number,coord_swapped,urban_density,property_age,living_area_ratio,bedroom_density,average_room_size,living_area_squared,external_area_dominance_index
House,residence,160.0,3.0,1.0,1800,50.9113762,4.3727272,,New,0,1,1.0,,0,3.0,,1,,0,871.0,,Flanders,Flemish Brabant,6.9,0,,False,2226.8278452516543,,0.18369690011481057,0.01875,53.333333333333336,25600.0,0.8163030998851895
Apartment,duplex,130.0,4.0,2.0,1070,50.8363943,4.330434,1896.0,Normal,0,0,,Fully equipped,0,2.0,3.0,0,,0,,E,Brussels,Brussels Capital Region,2.1,0,2.0,False,7185.624093582328,130.0,,0.03076923076923077,32.5,16900.0,
House,residence,174.0,3.0,2.0,1850,50.9356235,4.3785596,1918.0,Normal,0,0,,,0,2.0,2.0,1,47.0,1,170.0,E,Flanders,Flemish Brabant,9.7,0,,False,1036.005053684772,108.0,1.0235294117647058,0.017241379310344827,58.0,30276.0,-0.0235294117647058
House,residence,146.0,3.0,1.0,6690,50.2899894,5.9276177,,Normal,0,0,,,0,,,0,,0,68.0,C,Wallonia,Luxembourg,33.6,0,,False,55.81345815325597,,2.1470588235294117,0.02054794520547945,48.666666666666664,21316.0,-1.1470588235294117
Apartment,apartment,127.0,2.0,,3150,50.9749605,4.6389488,2025.0,New,0,1,2.0,,0,,,0,,1,,,Flanders,Flemish Brabant,11.4,0,,False,509.8417992307599,1.0,,0.015748031496062992,63.5,16129.0,
Apartment,apartment,95.0,1.0,1.0,7331,50.4833534,3.8384439,,Excellent,0,0,,Super equipped,0,2.0,1.0,0,,0,,C,Wallonia,Hainaut,8.7,0,0.0,False,336.55756146779254,,,0.010526315789473684,95.0,9025.0,
House,mixed-building,233.0,5.0,2.0,6060,50.4134497,4.477443,1938.0,Normal,0,1,2.0,,0,3.0,4.0,1,,1,430.0,E,Wallonia,Hainaut,2.3,0,,False,1998.7147535770227,88.0,0.541860465116279,0.02145922746781116,46.6,54289.0,0.45813953488372094
House,residence,193.0,4.0,2.0,8730,51.1664752,3.3315477,1996.0,Normal,0,1,,Fully equipped,0,3.0,2.0,1,500.0,1,662.0,B,Flanders,West Flanders,8.8,0,,False,225.32288314645055,30.0,0.29154078549848944,0.02072538860103627,48.25,37249.0,0.7084592145015105
House,residence,150.0,3.0,2.0,8587,50.7316074,3.3813911,2023.0,New,0,0,,,0,2.0,3.0,1,25.0,1,108.0,A,Flanders,West Flanders,11.9,0,,False,189.8278098738461,3.0,1.3888888888888888,0.02,50.0,22500.0,-0.38888888888888884
Apartment,apartment,94.0,2.0,1.0,1180,50.8,4.3333333,,Excellent,0,0,,,1,,,1,,1,,B,Brussels,Brussels Capital Region,0.4,1,1.0,False,3811.786011123928,,,0.02127659574468085,47.0,8836.0,
House,residence,158.0,4.0,1.0,6790,49.5822465,5.7588053,2004.0,Normal,0,1,1.0,,0,4.0,,0,,0,829.0,E,Wallonia,Luxembourg,12.0,0,,False,387.5629373635904,22.0,0.19059107358262967,0.02531645569620253,39.5,24964.0,0.8094089264173703
